names,dates,ratings,site
Double Time,2023-05-18,T,ffnet
Resonance Days,2012-03-20,T,ffnet
Crónicas de la diosa mahou shoujo,2022-06-01,M,ffnet
Puella Magi American Sensei,2022-06-12,M,ffnet
Gracia Salvadora,2023-05-29,K+,ffnet
The Birth of the Imagine Breaker,2023-05-06,T,ffnet
Halfway Across the World,2023-05-21,T,ffnet
Como Lágrimas en Medio de la Lluvia,2023-05-21,T,ffnet
The Hereafter Story,2021-11-20,T,ffnet
Magical Cookies A Girl Scout Adventure,2023-05-18,T,ffnet
To the Stars,2011-09-24,T,ffnet
In Love with a Magical Girl,2022-09-07,K,ffnet
Puella Furia Dark Magica,2021-01-01,T,ffnet
"Hidden Pasts, Present Secrets",2022-10-24,T,ffnet
No es necesario,2023-04-26,K,ffnet
Karaat and the ex-Magical Girl turned Horny Housewife,2023-04-20,M,ffnet
Lyrical Romantic,2023-04-19,M,ffnet
Days in a Gilded Cage,2022-08-28,T,ffnet
Magia: A New Hope,2021-08-22,T,ffnet
JWW: Celestia Arena 33! (Night 1 & 2),2023-03-26,T,ffnet
Extinction,2020-05-04,M,ffnet
The Girl who Sucks,2022-12-27,T,ffnet
Extinção,2020-05-02,M,ffnet
The Puella Blokkat Sequence,2023-03-18,T,ffnet
Reunion,2023-01-30,M,ffnet
Songs Of The Puella Magi,2015-03-16,T,ffnet
An Incubator's Lust,2023-01-29,M,ffnet
My baby and the flan,2023-02-27,K,ffnet
Ribbon,2023-02-27,K,ffnet
Reward of Justice,2023-02-24,K,ffnet
Sip of Generosity,2023-02-24,K,ffnet
Una manzana en San Valentín,2023-02-15,K,ffnet
Esta vez sí,2023-02-15,K,ffnet
The End of the Circus: Girls of the Crystal,2017-01-28,T,ffnet
Swords of Justice: A Madoka Magica Fanfiction,2023-02-01,T,ffnet
The Unlikely Ally,2018-12-29,T,ffnet
Top 10 reason that Homura never wears her demon dress again,2023-01-08,K+,ffnet
JWW: Festival Of Friendship! (DEC 5th),2023-01-03,T,ffnet
A Burning Castle,2021-11-02,T,ffnet
Stowaway,2022-07-13,T,ffnet
(English) Puella Magi Sverige Magica: Rise Of The White Night Star,2022-11-10,T,ffnet
(Español) Puella Magi Sverige Magica: Rise Of The White Night Star,2022-11-10,T,ffnet
Another Day Without You,2022-11-09,T,ffnet
Madoka attacks North Korea,2021-07-21,M,ffnet
Custos Anima Puellarum Magorum,2022-09-12,M,ffnet
Un pasado que quiero enmendar,2022-10-24,K+,ffnet
Tainted and Unclean,2022-10-17,M,ffnet
Madoka Magica Volume 4 – The Marriage of Heaven and Hell,2019-07-20,T,ffnet
Puella Magi Madoka Magica: Distorted Hope,2018-01-05,T,ffnet
The Violinist and The Witch,2013-10-08,T,ffnet
Puella Magi Ichika Magica,2021-11-24,T,ffnet
Kazumi's Abnormal Quest,2022-04-24,M,ffnet
"sleep, pretty darling do not cry",2022-09-06,K+,ffnet
Savannah,2022-06-05,T,ffnet
The Last and First Step,2022-08-08,T,ffnet
Para que no desfallezca,2022-07-29,K,ffnet
Razón y causa,2022-07-29,K,ffnet
Solo sueños,2022-07-29,K,ffnet
Tomoe's Head by Roxius,2022-07-29,T,ffnet
Blue Fire,2022-07-23,T,ffnet
Laffeychan's life as Meguca oneshots and Elseworlds What-Ifs,2022-01-03,T,ffnet
You Can't Escape,2018-10-23,M,ffnet
Ashes and Flame,2021-08-20,T,ffnet
Silence,2022-06-30,T,ffnet
2 chicas magicas y un cepillo,2022-06-26,K+,ffnet
A Wraith's Thoughts on Humanity,2022-06-24,T,ffnet
Puella Magi Chuuni Magica,2018-01-08,K+,ffnet
Hope's Whisper,2022-06-12,K+,ffnet
JWW: Summer Rumble!,2022-06-03,T,ffnet
Loop,2022-05-28,K+,ffnet
Homuzuchi,2022-05-18,T,ffnet
Don't You Dare Look Away,2022-03-18,T,ffnet
Because You're You,2022-05-15,K+,ffnet
Full disclosure,2022-05-01,K+,ffnet
Doppel system complete and the mystery of the changed magic,2022-04-27,T,ffnet
Beachside Hellfire,2022-04-26,T,ffnet
Madoka Shoots Up a Middle School EX,2022-04-16,M,ffnet
Les Fleurs du Mal,2021-03-21,T,ffnet
A Malfunctioning Mind,2020-11-16,T,ffnet
reunion part 99,2022-04-02,T,ffnet
Doppel Doppel,2022-04-02,T,ffnet
Is it hard to be Kyubey?,2022-03-28,T,ffnet
Rollercoaster,2022-02-23,T,ffnet
Walpurgis Nights,2020-04-06,T,ffnet
Descanso para fumar,2022-03-05,K,ffnet
Proyectiles,2022-03-05,K+,ffnet
Corazón en una caja,2022-02-25,K,ffnet
Las chicas no pueden amar a las chicas,2022-02-25,K,ffnet
Defiance of Cosmos,2021-08-21,T,ffnet
El Sueño de la Demonio,2022-02-21,M,ffnet
Amor eterno,2022-02-14,K,ffnet
A Different Demographic,2022-02-14,T,ffnet
Love is an Infinity of Limitations,2022-02-13,T,ffnet
A Kindred Spirit in My Final Hour,2022-02-07,T,ffnet
Perfect Crime,2015-06-26,T,ffnet
Puella Magi Madoka Magica: Atonement,2021-11-24,T,ffnet
Preocupación desmedida,2022-01-24,M,ffnet
black ribbons,2017-01-02,T,ffnet
Killed By Her Own Gun,2022-01-22,M,ffnet
Jubilación Mágica,2022-01-11,K,ffnet
Alitas de pollo,2022-01-11,K,ffnet
Confrontación,2022-01-10,K,ffnet
La idea de Madoka,2022-01-10,K,ffnet
Contemplando la brujería,2022-01-09,K,ffnet
Escuela Homo Homo,2022-01-09,K+,ffnet
Presagio,2022-01-08,K,ffnet
¡Tú también puedes ser una chica mágica!,2022-01-08,K,ffnet
Homura Wants Some Sleep,2021-12-31,T,ffnet
Christmas cake cuteness,2021-12-29,T,ffnet
La inteligencia no se contrata,2021-12-28,K,ffnet
Pesadilla sin sueños,2021-12-28,K,ffnet
"Algo viejo, algo nuevo",2021-12-28,K,ffnet
Última vez,2021-12-27,K,ffnet
07:49,2021-12-27,K+,ffnet
"Bajo la nieve, sufro en soledad",2021-12-25,K+,ffnet
Sueño feliz,2021-12-21,K,ffnet
Nicolás,2021-12-21,K,ffnet
Un beso de Navidad,2021-12-20,K,ffnet
Presente,2021-12-20,K,ffnet
Pensamientos al final,2021-12-18,K,ffnet
Muerte atribuida a vehiculo estacionado,2021-12-18,K+,ffnet
Hasta la eternidad,2021-12-17,K+,ffnet
Día normal,2021-12-17,K,ffnet
La pesadilla termina,2021-12-17,K,ffnet
Diversis Mundi Magia Actum,2019-10-14,T,ffnet
De nuevo,2021-12-16,K,ffnet
Un paso hacia el paraíso,2021-12-16,K,ffnet
Milagros y magia,2021-12-15,K,ffnet
Pretendientes,2021-12-15,K+,ffnet
Sola nunca más,2021-12-14,K,ffnet
Ámame o te mataré,2021-12-14,K+,ffnet
¿Qué pasaría si?,2021-12-14,K+,ffnet
Lógica,2021-12-13,K,ffnet
Vendí mi felicidad,2021-12-11,K,ffnet
Mermaid Death,2021-12-11,K,ffnet
Si mañana es el último día,2021-12-10,K,ffnet
Óleo sobre lienzo,2021-12-10,K,ffnet
