,names,authors,ratings,u_date
0,MsFaust's Trailer Grimoire,MsFaust,Teen And Up Audiences,09 Jul 2023
1,Over the Beauty Lost and Gone,MsFaust,Teen And Up Audiences,09 Jul 2023
2,Prism Universe Works,MsFaust,Teen And Up Audiences,09 Jul 2023
3,Finding the Best Part of Me,Pauliestorylover,Teen And Up Audiences,09 Jul 2023
4,Mission for an Angel,Shaymeme,Teen And Up Audiences,09 Jul 2023
5,Magical Girl Manager Quest [CYOA],AlwaysSometimesKobold,Teen And Up Audiences,09 Jul 2023
6,frantic fanfic abominations,emo_ellsworld,Teen And Up Audiences,09 Jul 2023
7,Visenya Magica: Tales Of The Blacks And Greens,MylescoolKing234,Mature,09 Jul 2023
8,Madoka Kaname is a Magical Girl,Loli_Molester,Explicit,08 Jul 2023
9,Resonance Days,TakerFoxx,Teen And Up Audiences,08 Jul 2023
10,Garden of Earthly Delights,acaciapines,Teen And Up Audiences,08 Jul 2023
11,Toon City,Historyfan15,Teen And Up Audiences,08 Jul 2023
12,Danse Macabre,Nolla_white,Not Rated,08 Jul 2023
13,Magic and Abilities,Cor_Corbinian,Teen And Up Audiences,08 Jul 2023
14,Danganronpa EUROPA: Murders in Faeryland,Kroumios,Teen And Up Audiences,07 Jul 2023
15,To Be Reborn As a Witch,ParanormalOpals,General Audiences,07 Jul 2023
16,Puella Magi Kiwami,Narty_Naz,Teen And Up Audiences,07 Jul 2023
17,Dissonance,BrokennRoses,Mature,07 Jul 2023
18,The Devil and Her Sinner,Biggby,Mature,06 Jul 2023
19,In the Sky with You,shiftysword,Explicit,06 Jul 2023
20,By Girls Bereft of Future Vows,NidoranDuran,Explicit,06 Jul 2023
21,Saving the Bluenette,TropicalNun,Teen And Up Audiences,06 Jul 2023
22,Fiction Ficlets,WestOrEast,Explicit,05 Jul 2023
23,Utena’s Dark Desires,Loli_Molester,Explicit,05 Jul 2023
24,Connect,atamascolily,Teen And Up Audiences,05 Jul 2023
25,I want you,arachnidsChurch,General Audiences,05 Jul 2023
26,Oasis,whoneedsapublisher,Explicit,05 Jul 2023
27,Blazing Star,Yotsubadancesintherain5,General Audiences,04 Jul 2023
28,Clockwork and Gossamer,Polyglyph,Teen And Up Audiences,04 Jul 2023
29,The Second Dream,Kadraell,Teen And Up Audiences,04 Jul 2023
30,World of Hearts: Linked As One,KingJustin1019,Mature,03 Jul 2023
31,A Garden Of Heliotrope And Pink Carnations.,smooth_pineapple,Not Rated,03 Jul 2023
32,Vampire: The Masquerade - The Chosen,Xenolord,Mature,03 Jul 2023
33,Digital Goddess,samble,Teen And Up Audiences,03 Jul 2023
34,Fulfilling the Cycle,WestOrEast,Explicit,02 Jul 2023
35,blueberry pie,Rina_Lirium0_2,General Audiences,02 Jul 2023
36,The Magia Initiative,Saru_Stories,Teen And Up Audiences,02 Jul 2023
37,Hope's Private Secretary 3: Anima & Animus Apud Argenteus Armis,Erinaceus87,Teen And Up Audiences,02 Jul 2023
38,Eyes are a window to ones soul,Aiden_Nevada,Mature,02 Jul 2023
