,names,dates,ratings,languages
0,Double Time,2023-05-18,T,English
1,Resonance Days,2012-03-20,T,English
2,Crónicas de la diosa mahou shoujo,2022-06-01,M,Spanish
3,Puella Magi American Sensei,2022-06-12,M,English
4,Gracia Salvadora,2023-05-29,K+,Spanish
5,The Birth of the Imagine Breaker,2023-05-06,T,English
6,Halfway Across the World,2023-05-21,T,English
7,Como Lágrimas en Medio de la Lluvia,2023-05-21,T,Spanish
8,The Hereafter Story,2021-11-20,T,English
9,Magical Cookies A Girl Scout Adventure,2023-05-18,T,English
10,To the Stars,2011-09-24,T,English
11,In Love with a Magical Girl,2022-09-07,K,English
12,Puella Furia Dark Magica,2021-01-01,T,English
13,"Hidden Pasts, Present Secrets",2022-10-24,T,English
14,No es necesario,2023-04-26,K,Spanish
15,Karaat and the ex-Magical Girl turned Horny Housewife,2023-04-20,M,English
16,Lyrical Romantic,2023-04-19,M,Spanish
17,Days in a Gilded Cage,2022-08-28,T,English
18,Magia: A New Hope,2021-08-22,T,English
19,JWW: Celestia Arena 33! (Night 1 & 2),2023-03-26,T,English
20,Extinction,2020-05-04,M,English
21,The Girl who Sucks,2022-12-27,T,English
22,Extinção,2020-05-02,M,Portuguese
23,The Puella Blokkat Sequence,2023-03-18,T,English
24,Reunion,2023-01-30,M,English
25,Songs Of The Puella Magi,2015-03-16,T,English
26,An Incubator's Lust,2023-01-29,M,English
27,My baby and the flan,2023-02-27,K,Spanish
28,Ribbon,2023-02-27,K,Spanish
29,Reward of Justice,2023-02-24,K,English
30,Sip of Generosity,2023-02-24,K,English
31,Una manzana en San Valentín,2023-02-15,K,Spanish
32,Esta vez sí,2023-02-15,K,Spanish
33,The End of the Circus: Girls of the Crystal,2017-01-28,T,English
34,Swords of Justice: A Madoka Magica Fanfiction,2023-02-01,T,English
35,The Unlikely Ally,2018-12-29,T,English
36,Top 10 reason that Homura never wears her demon dress again,2023-01-08,K+,English
37,JWW: Festival Of Friendship! (DEC 5th),2023-01-03,T,English
38,A Burning Castle,2021-11-02,T,English
39,Stowaway,2022-07-13,T,English
40,(English) Puella Magi Sverige Magica: Rise Of The White Night Star,2022-11-10,T,English
41,(Español) Puella Magi Sverige Magica: Rise Of The White Night Star,2022-11-10,T,Spanish
42,Another Day Without You,2022-11-09,T,English
43,Madoka attacks North Korea,2021-07-21,M,English
44,Custos Anima Puellarum Magorum,2022-09-12,M,English
45,Un pasado que quiero enmendar,2022-10-24,K+,Spanish
46,Tainted and Unclean,2022-10-17,M,English
47,Madoka Magica Volume 4 – The Marriage of Heaven and Hell,2019-07-20,T,English
48,Puella Magi Madoka Magica: Distorted Hope,2018-01-05,T,English
49,The Violinist and The Witch,2013-10-08,T,English
50,Puella Magi Ichika Magica,2021-11-24,T,English
51,Kazumi's Abnormal Quest,2022-04-24,M,English
52,"sleep, pretty darling do not cry",2022-09-06,K+,English
53,Savannah,2022-06-05,T,English
54,The Last and First Step,2022-08-08,T,English
55,Para que no desfallezca,2022-07-29,K,Spanish
56,Razón y causa,2022-07-29,K,Spanish
57,Solo sueños,2022-07-29,K,Spanish
58,Tomoe's Head by Roxius,2022-07-29,T,English
59,Blue Fire,2022-07-23,T,English
60,Laffeychan's life as Meguca oneshots and Elseworlds What-Ifs,2022-01-03,T,English
61,You Can't Escape,2018-10-23,M,English
62,Ashes and Flame,2021-08-20,T,English
63,Silence,2022-06-30,T,English
64,2 chicas magicas y un cepillo,2022-06-26,K+,Spanish
65,A Wraith's Thoughts on Humanity,2022-06-24,T,English
66,Puella Magi Chuuni Magica,2018-01-08,K+,English
67,Hope's Whisper,2022-06-12,K+,English
68,JWW: Summer Rumble!,2022-06-03,T,English
69,Loop,2022-05-28,K+,English
70,Homuzuchi,2022-05-18,T,English
71,Don't You Dare Look Away,2022-03-18,T,English
72,Because You're You,2022-05-15,K+,English
73,Full disclosure,2022-05-01,K+,English
74,Doppel system complete and the mystery of the changed magic,2022-04-27,T,English
75,Beachside Hellfire,2022-04-26,T,English
76,Madoka Shoots Up a Middle School EX,2022-04-16,M,English
77,Les Fleurs du Mal,2021-03-21,T,English
78,A Malfunctioning Mind,2020-11-16,T,English
