name,site,fic_count,year_air
Naruto,ffnet,439000,1999
Inuyasha,ffnet,121000,2000
Hetalia - Axis Powers,ffnet,118000,2009
Bleach,ffnet,85500,2004
Fairy Tail,ffnet,68600,2009
Yu-Gi-Oh,ffnet,68400,2000
Dragon Ball Z,ffnet,54200,1989
Fullmetal Alchemist,ffnet,49300,2003
Digimon,ffnet,47900,1999
Sailor Moon,ffnet,45400,1992
 My Hero Academia ,ao3,270020,2016
Haikyuu!!,ao3,146153,2014
Naruto,ao3,101204,1999
 Attack on Titan,ao3,79020,2013
 Jujutsu Kaisen ,ao3,71165,2020
 JoJo's Bizarre Adventure,ao3,56813,2012
 Bungou Stray Dogs,ao3,54657,2016
Dangan Ronpa Series,ao3,52949,2010
 Pokemon - All Media Types,ao3,51869,1997
Hetalia: Axis Powers,ao3,48751,2009
